id,class_type,name
class_name_p1,1,P1A
class_name_p2,1,P2A
class_name_p3,1,P3A
class_name_p4,1,P4A
class_name_p5,1,P5A
class_name_p6,1,P6A
class_name_m1,0,M1
class_name_m2,0,M2
class_name_m3,0,M3
